"ENSG00000007312","CD79B","K-562","0.6","FPKM","Low"
"ENSG00000007314","SCN4A","K-562","0.0","FPKM","Not detected"
"ENSG00000007341","ST7L","K-562","1.8","FPKM","Low"
"ENSG00000007350","TKTL1","K-562","0.0","FPKM","Not detected"
"ENSG00000007372","PAX6","K-562","6.4","FPKM","Low"
"ENSG00000007376","RPUSD1","K-562","23.9","FPKM","Medium"
"ENSG00000007384","RHBDF1","K-562","2.1","FPKM","Low"
"ENSG00000007392","LUC7L","K-562","22.5","FPKM","Medium"
"ENSG00000007402","CACNA2D2","K-562","0.1","FPKM","Not detected"
"ENSG00000007516","BAIAP3","K-562","0.2","FPKM","Not detected"
"ENSG00000007520","TSR3","K-562","26.1","FPKM","Medium"
"ENSG00000007541","PIGQ","K-562","13.0","FPKM","Low"
"ENSG00000007545","CRAMP1L","K-562","9.9","FPKM","Low"
"ENSG00000007866","TEAD3","K-562","5.3","FPKM","Low"
"ENSG00000007908","SELE","K-562","0.0","FPKM","Not detected"
"ENSG00000007923","DNAJC11","K-562","48.8","FPKM","Medium"
"ENSG00000007933","FMO3","K-562","0.0","FPKM","Not detected"
"ENSG00000007944","MYLIP","K-562","23.0","FPKM","Medium"
"ENSG00000007952","NOX1","K-562","0.0","FPKM","Not detected"
"ENSG00000007968","E2F2","K-562","6.8","FPKM","Low"
"ENSG00000008018","PSMB1","K-562","433.7","FPKM","High"
"ENSG00000008056","SYN1","K-562","0.2","FPKM","Not detected"
"ENSG00000008083","JARID2","K-562","18.1","FPKM","Low"
"ENSG00000008086","CDKL5","K-562","0.0","FPKM","Not detected"
"ENSG00000008118","CAMK1G","K-562","0.0","FPKM","Not detected"
"ENSG00000008128","CDK11A","K-562","16.8","FPKM","Low"
"ENSG00000008130","NADK","K-562","29.8","FPKM","Medium"
"ENSG00000008196","TFAP2B","K-562","3.2","FPKM","Low"
"ENSG00000008197","TFAP2D","K-562","0.0","FPKM","Not detected"
"ENSG00000008226","DLEC1","K-562","0.0","FPKM","Not detected"
"ENSG00000008256","CYTH3","K-562","6.1","FPKM","Low"
"ENSG00000008277","ADAM22","K-562","0.2","FPKM","Not detected"
